Organization Name,Sector Name,Subsector Name,Operation Name,Address,eWh/HDD/ft^2,Energy Intensity (ekWh/ML)
City of Barrie,Municipal,Municipality,Fire HQ,155 Dunlop Street,13.6488747265667,
City of Barrie,Municipal,Municipality,Fire Station #1,65 Vespra Street,6.04217118626231,
City of Barrie,Municipal,Municipality,Fire Station #2,15 Bell Farm Road,16.74678975236,
City of Barrie,Municipal,Municipality,Fire Station #3,340 Big Bay Point Road,14.2148783510046,
City of Barrie,Municipal,Municipality,Fire Station#4,250 Ardagh Road,8.350481676947,
City of Belleville,Municipal,Municipality,Fire Hall #1,72 Moira St W,13.5413955534598,
City of Belleville,Municipal,Municipality,Fire Hall #2,316 Dundas St E,13.5879171668608,
City of Belleville,Municipal,Municipality,Fire Hall #3,658 Pointe Anne,6.99626749611198,
City of Belleville,Municipal,Municipality,Fire Hall #4,516 Harmony Road,4.23954549620877,
City of Brampton,Municipal,Municipality,Fire Life Safety Ctr.,225 Central Park Dr,11.7658789042837,
City of Brampton,Municipal,Municipality,Fire Station 201 & HQ,8 Rutherford Rd S,13.7342298379965,
City of Brampton,Municipal,Municipality,FIre Station 202,280 Bramalea Rd,10.5833417884573,
City of Brampton,Municipal,Municipality,Fire Station 203,1945 Williams Pkwy E,16.74678975236,
City of Brampton,Municipal,Municipality,Fire Station 204,657 Queen Street W,12.0092235427619,
City of Brampton,Municipal,Municipality,FIre Station 205,95 Sandalwood Pkwy E,11.1683645718303,
City of Brampton,Municipal,Municipality,Fire Station 206,7880 Hurontario St,9.66884956884689,
City of Brampton,Municipal,Municipality,FIre Station 207,75 Vodden St E,10.260010206895,
City of Brampton,Municipal,Municipality,Fire Station 208,120 Ferforest Dr,7.66389068158384,
City of Brampton,Municipal,Municipality,Fire Station 209,2691 Sandalwood Pkwy E,7.05321875123334,
City of Brampton,Municipal,Municipality,Fire Station 210,10530 Creditview Rd,8.9012777911807,
City of Brampton,Municipal,Municipality,Fire Station 212,8220 Mississauga Road,4.51461508694474,
City of Brampton,Municipal,Municipality,Fire Station 213,4075 Ebenezer Rd,11.1964431764417,
City of Brampton,Municipal,Municipality,Fire Station 217 - Volunteer,7752 Churchville Rd,10.5449267222885,
City of Brampton,Municipal,Municipality,Fire Station 218 - Volunteer,9126 Mississauga Rd,5.35518889958031,
City of Brampton,Municipal,Municipality,Fire Station 219,9756 The Gore Rd,6.87839497429042,
City of Brantford,Municipal,Municipality,Ambulance Station,400 Colborne St.,6.64692289311831,
City of Brantford,Municipal,Municipality,Fire Hall - 1,60 Clarence St.,9.72140881718718,
City of Brantford,Municipal,Municipality,Fire Hall - 2,311 St. Paul Ave.,8.82921366273737,
City of Brantford,Municipal,Municipality,Fire Hall - 3,7 Lynden Rd.,8.41018846283981,
City of Brantford,Municipal,Municipality,Fire Hall - 4,400 Colborne St.,6.47619256338685,
City of Brockville,Municipal,Municipality,Fire Station Number 1,61 Perth Street,3.46386186398831,
City of Brockville,Municipal,Municipality,Fire Station Number 2,360 Laurier Blvd,4.94700690740012,
City of Burlington,Municipal,Municipality,Fire Station 1 Headquarters,1255 Fairview Street,7.43474113505393,
City of Burlington,Municipal,Municipality,Fire Station 2 ,2300 Upper Middle Road,6.95641429269762,
City of Burlington,Municipal,Municipality,Fire Station 3 ,1044 Waterdown Road,6.42056839406562,
City of Burlington,Municipal,Municipality,Fire Station 4 ,711 Appleby Line ,14.6582466892307,
City of Burlington,Municipal,Municipality,Fire Station 5 ,2241 Killbride Street,7.40087057445372,
City of Burlington,Municipal,Municipality,Fire Station 6 ,455 Cumberland Avenue,7.31788665654743,
City of Burlington,Municipal,Municipality,Fire Station 7 ,4100 Dundas Street,9.38228163614739,
City of Burlington,Municipal,Municipality,Fire Station 8,1837 Ironstone ,8.88602748703402,
City of Cambridge,Municipal,Municipality,Fire Station #1 (Headquarters),1625 Bishop Street North,12.4957735755143,
City of Cambridge,Municipal,Municipality,Fire Station #2,11 Tannery Street East,4.58221541703606,
City of Cambridge,Municipal,Municipality,Fire Station #3,525 King Street,7.37144028782212,
City of Cambridge,Municipal,Municipality,Fire Station #4,91 St. Andrews Street,12.6636622024886,
City of Cambridge,Municipal,Municipality,Fire Station #5,490 Main St. E.,9.70092546854132,
City of Clarence-Rockland,Municipal,Municipality,Bourget fire hall,2163 Laval Street,7.05148074983326,
City of Clarence-Rockland,Municipal,Municipality,Clarence Creek fire hall,1484 Landry Street,6.39342575785245,
City of Clarence-Rockland,Municipal,Municipality,Rockland fire hall,1550 Laurier,6.9164832684847,
City of Cornwall,Municipal,Municipality,Emergency Medical Services (EMS) Station,601 Campbell Street,9.46585246700777,
City of Cornwall,Municipal,Municipality,Fire Station #1,10 Fourth Street West,11.5205420710421,
City of Cornwall,Municipal,Municipality,Fire Station #2,1351 Second Street East,13.1095517540388,
City of Dryden,Municipal,Municipality,Dryden Fire Hall #1,189 Colonization Avenue,8.95014089280463,
City of Dryden,Municipal,Municipality,Dryden Fire Hall #2,14378 Highway #17 E.,3.25972614627019,
City of Elliot Lake,Municipal,Municipality,Fire Department,55 Hillside Drive North,5.39039787819915,
City of Elliot Lake,Municipal,Municipality,Lookout Tower,201-202 Lookout Tower Road,2.22039173307546,
City of Greater Sudbury,Municipal,Municipality,AZILDA SEWAGE TREATMENT PLANT - PROCESS,564 ST AGNES STREET,,11.6513588084478
City of Greater Sudbury,Municipal,Municipality,BEAVER LAKE EMERGENCY SERVICES,7535 HIGHWAY 17 WEST,1.64055094470741,
City of Greater Sudbury,Municipal,Municipality,BEAVER LAKE FIRE STATION,7535 HIGHWAY 17 WEST,1.6407414406369,
City of Greater Sudbury,Municipal,Municipality,CAPREOL - FIRE STATION,65 RAILWAY AVENUE,1.65143217082767,
City of Greater Sudbury,Municipal,Municipality,CAPREOL EMERGENCY SERVICES - EMS STATION,105 YOUNG STREET,2.61655295927064,
City of Greater Sudbury,Municipal,Municipality,CHELMSFORD EMERGENCY SERVICES - EMS,3400 HIGHWAY 144,4.07101313404255,
City of Greater Sudbury,Municipal,Municipality,CHELMSFORD EMERGENCY SERVICES - FIRE STATION,3400 HIGHWAY 144,4.07176943694624,
City of Greater Sudbury,Municipal,Municipality,CONISTON EMERGENCY SERVICES -  FIRE STATION,7 SECOND AVENUE,3.90525779799728,
City of Greater Sudbury,Municipal,Municipality,COPPER CLIFF EMERGENCY SERVICES - FIRE STATION,7 SERPENTINE STREET,7.60168397100046,
City of Greater Sudbury,Municipal,Municipality,DOWLING EMERGENCY SERVICES - FIRE STATION,65 MAIN STREET,7.0174934871976,
City of Greater Sudbury,Municipal,Municipality,FALCONBRIDGE EMERGENCY SERVICES - EMS,21 EDISON ROAD,4.18596111305109,
City of Greater Sudbury,Municipal,Municipality,FALCONBRIDGE EMERGENCY SERVICES - FIRE STATION,21 EDISON ROAD,4.18500797282498,
City of Greater Sudbury,Municipal,Municipality,GARSON-NICKEL CENTRE  EMERGENCY SERVICES - FIRE STATION,206 CHURCH STREET,6.41633270511838,
City of Greater Sudbury,Municipal,Municipality,GARSON-NICKEL CENTRE EMERGENCY SERVICES - EMS,206 CHURCH STREET,6.41581897057115,
City of Greater Sudbury,Municipal,Municipality,HANMER - FIRE STATION,4680 LAFONTAINE STREET,10.2503681334566,
City of Greater Sudbury,Municipal,Municipality,HANMER EMERGENCY SERVICES,4680 LAFONTAINE STREET,10.2502283379941,
City of Greater Sudbury,Municipal,Municipality,LEVACK EMERGENCY SERVICES - EMS,48 NICKEL STREET,6.16438628314784,
City of Greater Sudbury,Municipal,Municipality,LEVACK EMERGENCY SERVICES - FIRE STATION,48 NICKEL STREET,6.16624796552852,
City of Greater Sudbury,Municipal,Municipality,LIONEL E LALONDE CENTRE,239 MONTEE PRINCIPALE,6.411967870786,
City of Greater Sudbury,Municipal,Municipality,LIONEL E LALONDE CENTRE - FIRE TRAINING,239 MONTEE PRINCIPALE,2.13532886720564,
City of Greater Sudbury,Municipal,Municipality,LIVELY EMERGENCY SERVICES - FIRE STATION,229 NINTH AVENUE,10.4911298231427,
City of Greater Sudbury,Municipal,Municipality,LONG LAKE EMERGENCY SERVICES - EMS STATION,2069 LONG LAKE ROAD,11.8413980666678,
City of Greater Sudbury,Municipal,Municipality,LONG LAKE EMERGENCY SERVICES - FIRE STATION,2069 LONG LAKE ROAD,11.6513588084478,
City of Greater Sudbury,Municipal,Municipality,MINNOW LAKE EMERGENCY SERVICES - FIRE STATION,144 SECOND AVENUE SOUTH,9.66145029501295,
City of Greater Sudbury,Municipal,Municipality,MOONLIGHT LIFT STATION,358 MOONLIGHT AVENUE,,10.0868617774355
City of Greater Sudbury,Municipal,Municipality,MOSS BOOSTER STATION,1023 MOSS STREET,11.6513588084478,
City of Greater Sudbury,Municipal,Municipality,MOTT BOOSTER STATION,MOTT STREET,11.6513588084478,
City of Greater Sudbury,Municipal,Municipality,NEW SUDBURY EMERGENCY SERVICES - LEON AVENUE FIRE STATION,1190 LEON AVENUE,11.5018073879332,
City of Greater Sudbury,Municipal,Municipality,"PHARAND WELL ""G""",151 CARMEN STREET,11.6513588084478,
City of Greater Sudbury,Municipal,Municipality,"PHILIPPE WELL ""C""",4595 PHILIPPE STREET,11.6513588084478,
City of Greater Sudbury,Municipal,Municipality,RED DEER LAKE EMERGENCY SERVICES - FIRE STATION,566 RED DEER LAKE ROAD NORTH,1.39285081938187,
City of Greater Sudbury,Municipal,Municipality,SKEAD EMERGENCY SERVICES -  FIRE STATION,20 MACLENNAN DRIVE,1.76191694044973,
City of Greater Sudbury,Municipal,Municipality,SUDBURY EMERGENCY SERVICES - VAN HORNE FIRE STATION,193 VAN HORNE STREET,7.7688053216315,
City of Greater Sudbury,Municipal,Municipality,VAL CARON EMERGENCY SERVICES -FIRE STATION,3064 LEDUC AVENUE,3.15190685475233,
City of Greater Sudbury,Municipal,Municipality,VAL THERESE EMERGENCY SERVICES - FIRE STATION,4200 HIGHWAY 69 NORTH,11.2864368642813,
City of Greater Sudbury,Municipal,Municipality,VERMILLION EMERGENCY SERVICES - FIRE STATION,2214 VERMILLION LAKE ROAD,1.50066390418407,
City of Greater Sudbury,Municipal,Municipality,VERMILLION LAKE PARK- EMS HELIPORT,1985 VERMILLION LAKE ROAD,1.34414019964253,
City of Greater Sudbury,Municipal,Municipality,WAHNAPITAE EMERGENCY SERVICES - FIRE STATION,162 HILL STREET,3.84459072961231,
City of Greater Sudbury,Municipal,Municipality,WALDEN EMERGENCY SERVICES,25 BLACK LAKE ROAD,13.8647208147594,
City of Greater Sudbury,Municipal,Municipality,WALDEN FIRE STATION,25 BLACK LAKE ROAD,11.6513588084478,
City of Greater Sudbury,Municipal,Municipality,WALDEN WASTEWATER TREATMENT PLANT,1425 REGIONAL ROAD 55,,11.6513588084478
City of Greater Sudbury,Municipal,Municipality,WALDEN WASTEWATER TREATMENT PLANT - PROCESS,1425 REGIONAL ROAD 55,,11.6513588084478
City of Greater Sudbury,Municipal,Municipality,WALDEN WASTEWATER TREATMENT PLANT - SCREENINGS BUILDING,1425 REGIONAL ROAD 55,,11.6513588084478
City of Greater Sudbury,Municipal,Municipality,WHITEFISH EMERGENCY SERVICES - FIRE STATION & COMMUNITY CENTRE,4895 REGIONAL ROAD 55,8.53173385582146,
City of Guelph,Municipal,Municipality,Fire Hall #1,50 Wyndham Street South,8.12358786775228,
City of Guelph,Municipal,Municipality,Fire Hall #2,74 Speedvale Avenue East,9.99748273414383,
City of Guelph,Municipal,Municipality,Fire Hall #3,115 Stone Road West,15.2883475445156,
City of Guelph,Municipal,Municipality,Fire Hall #5,380 Elizabeth Street,16.74678975236,
City of Hamilton,Municipal,Municipality,177 Bay Street Fire#13,177 BAY ST N,16.74678975236,
City of Hamilton,Municipal,Municipality,661 Garner Rd-Fire & Rescue 20,661 GARNER ROAD EAST,11.9771575431683,
City of Hamilton,Municipal,Municipality,DUN Memorial Square  Fire #23,19 MEMORIAL SQUARE,12.0983606027212,
City of Hamilton,Municipal,Municipality,Elfrida Fire Station #14,595 CHAPEL HILL RD,5.03543553691058,
City of Hamilton,Municipal,Municipality,FIR001 - Fire Station #01,35-43 JOHN STREET NORTH,15.0014827192655,
City of Hamilton,Municipal,Municipality,FLA Freelton Fire#28,1801 BROCK ROAD,7.84725717395928,
City of Hamilton,Municipal,Municipality,FLA Greensville Fire#25,361 OLD BROCK RD,9.3334335255962,
City of Hamilton,Municipal,Municipality,FLA Lynden Fire #26,119 LYNDEN RD,7.10440108143345,
City of Hamilton,Municipal,Municipality,FLA Rockton Fire#27,795 OLD HWY#8,9.92068103408957,
City of Hamilton,Municipal,Municipality,FLA Waterdown Fire#24,252 PARKSIDE DR E.,9.55955886603,
City of Hamilton,Municipal,Municipality,GLA Binbrook Fire#18,2636 (2640) HWY #56,7.57308975569513,
City of Hamilton,Municipal,Municipality,GLA Mt Hope Fire#19,3302 HOMESTEAD DR,10.0209694452319,
City of Hamilton,Municipal,Municipality,Kenilworth Ave Bldg Fire#9,125 KENILWORTH AVE N,12.5557774029652,
City of Hamilton,Municipal,Municipality,Macassa Fire #4,729 UPPER SHERMAN AVENUE,9.41659488071981,
City of Hamilton,Municipal,Municipality,Main & Norfolk Fire#10,1455 MAIN ST W,14.3794496756827,
City of Hamilton,Municipal,Municipality,Mohawk & Garth Fire#3,965 GARTH STREET,14.171022672189,
City of Hamilton,Municipal,Municipality,Ottawa & Limerdge Fire#5,1000 LIMERIDGE ROAD EAST,8.28006770465466,
City of Hamilton,Municipal,Municipality,Quigley Road Fire #7,225 QUIGLEY RD,16.271554810409,
City of Hamilton,Municipal,Municipality,Ray & George Fire#11,24 RAY ST S,10.5746655981261,
City of Hamilton,Municipal,Municipality,SCR 199 Hwy Fire#12,199 HWY #8,10.3429848870916,
City of Hamilton,Municipal,Municipality,SCR Arvin Ave Fire#15,415 ARVIN AVE,7.10829250730983,
City of Hamilton,Municipal,Municipality,SCR Isaac Brock Fire#17,363 ISAAC BROCK ST,12.362188995789,
City of Hamilton,Municipal,Municipality,Upper Wellington&StchrchFire#2,1400 UPPER WELLINGTON,9.97017107883585,
City of Hamilton,Municipal,Municipality,Victoria Avenue  Fire #30,489 VICTORIA AVE N,11.7751307421379,
City of Hamilton,Municipal,Municipality,Wentworth & Barton Fire#6,246 WENTWORTH STREET NORTH,11.1648793131022,
City of Hamilton,Municipal,Municipality,Winona Fire#16-Barton St,939 BARTON ST,7.011319435362,
City of Hamilton,Municipal,Municipality,Woodward & Melvin Fire#8,420 MELVIN AVE,10.5535770505801,
City of Kenora,Municipal,Municipality,Keewatin Fire Hall,1008 Ottawa Street,11.0763292916615,
City of Kingston,Municipal,Municipality,Fire Station #1,1648 Joyceville Rd.,5.4983394222893,
City of Kingston,Municipal,Municipality,Fire Station #10,127 Days Rd,8.03521836762313,
City of Kingston,Municipal,Municipality,Fire Station #2,3505 Brewers Mills Rd.,9.07703648373861,
City of Kingston,Municipal,Municipality,Fire Station #3,211 Gore Rd.,7.7565556860596,
City of Kingston,Municipal,Municipality,Fire Station #4,271 Brock St.,5.25474907827192,
City of Kingston,Municipal,Municipality,Fire Station #5,170 Railway St.,4.65078902153615,
City of Kingston,Municipal,Municipality,Fire Station #6,262 Palace Rd.,9.90258307607358,
City of Kingston,Municipal,Municipality,Fire Station #7,905 Woodbine Road,8.17804483375942,
City of Kingston,Municipal,Municipality,Fire Station #8,1485 Unity Rd.,7.31788779457437,
City of Kingston,Municipal,Municipality,Fire Station #9,2835 Hwy 38,7.30306813232624,
City of Kingston,Municipal,Municipality,Kingston Fire & Rescue Headquarters,500 O'Connor Dr.,12.6541941523488,
City of Kitchener,Municipal,Municipality,Fire Hall #2,187 LANCASTER W,10.7712496497675,
City of Kitchener,Municipal,Municipality,Fire Hall #3,1035 OTTAWA N,13.727727169855,
City of Kitchener,Municipal,Municipality,Fire Hall #4,25 FAIRWAY N,4.81213887328509,
City of Kitchener,Municipal,Municipality,Fire Hall #5,1700 QUEENS,12.37661145835,
City of Kitchener,Municipal,Municipality,Fire Hall #6,149 PIONEER,9.84345515608156,
City of Kitchener,Municipal,Municipality,Fire Hall #7,1440 HURON,5.94991431240137,
City of Kitchener,Municipal,Municipality,Fire Headquarters (FH #1),270 STRASBURG,7.46304173709969,
City of London,Municipal,Municipality,FIRE HALL # 01,400 HORTON ST E,8.38121416552205,
City of London,Municipal,Municipality,FIRE HALL # 02,1103 FLORENCE ST,10.7342628018032,
City of London,Municipal,Municipality,FIRE HALL # 03,550 COMMISSIONERS RD W,11.3379395844302,
City of London,Municipal,Municipality,FIRE HALL # 04,807 COLBORNE ST,10.7591688518341,
City of London,Municipal,Municipality,FIRE HALL # 05,751 DEVERON CRES,8.29258100585013,
City of London,Municipal,Municipality,FIRE HALL # 06,590 OXFORD ST W,9.56949917206386,
City of London,Municipal,Municipality,FIRE HALL # 07,1295 WEBSTER ST,9.41043737925733,
City of London,Municipal,Municipality,FIRE HALL # 08,1565 WESTERN RD,11.0975247694653,
City of London,Municipal,Municipality,FIRE HALL # 09,746 WELLINGTON RD,7.38459827725109,
City of London,Municipal,Municipality,FIRE HALL # 10,2125 TRAFALGAR ST,10.7113367678355,
City of London,Municipal,Municipality,FIRE HALL # 11,7109 WESTMINSTER DR,9.55803614054559,
City of London,Municipal,Municipality,FIRE HALL # 12,275 BOLER RD,16.335233329441,
City of London,Municipal,Municipality,FIRE HALL # 12-GREY BOX SEASONAL,275 BOLER RD,1.88448782237505,
City of London,Municipal,Municipality,FIRE HALL # 13,790 FANSHAWE PK RD E,5.84386827309342,
City of London,Municipal,Municipality,FIRE HALL # 14,2225 HYDE PARK RD,5.77150439897345,
City of Mississauga,Municipal,Municipality,Fire Station 101 (HQ),15 Fairview Road  W,9.95558169540582,
City of Mississauga,Municipal,Municipality,Fire Station 102 (Lakeview),710 Third Street,11.6878436386139,
City of Mississauga,Municipal,Municipality,Fire Station 103 (Clarkson),2035 Lushes Avenue,7.46385809646864,
City of Mississauga,Municipal,Municipality,Fire Station 104 (Port Credit),62 Port Street West,5.09806824253754,
City of Mississauga,Municipal,Municipality,Fire Station 105 (Malton),7101 Goreway Drive,10.2301549783015,
City of Mississauga,Municipal,Municipality,Fire Station 106 (Dixie),3450 Dixie Road,11.2375563898929,
City of Mississauga,Municipal,Municipality,Fire Station 107 (Erindale),1965 Dundas Street West,8.62606226333125,
City of Mississauga,Municipal,Municipality,Fire Station 108 (Streetsville),2267 Britannia Road West,8.29967598789602,
City of Mississauga,Municipal,Municipality,Fire Station 109 (Training),1735 Britannia Road East,7.68923559614375,
City of Mississauga,Municipal,Municipality,Fire Station 110 (Queensway),2316 Hurontario Street,6.16540466898355,
City of Mississauga,Municipal,Municipality,Fire Station 111 (Meadowvale),2740 Derry Road West,8.27053668253735,
City of Mississauga,Municipal,Municipality,Fire Station 112 (Creditview),4090 Creditview Road,5.69898093602637,
City of Mississauga,Municipal,Municipality,Fire Station 114 (Heartland),5845 Falbourne St.,10.3207658222854,
City of Mississauga,Municipal,Municipality,Fire Station 115 (Erin Mills),4595 Glen Erin Dr,10.6341054640648,
City of Mississauga,Municipal,Municipality,Fire Station 117 (North Dixie),1090 Nuvik Court,8.66395169525259,
City of Mississauga,Municipal,Municipality,Fire Station 118 (East Credit),1045 Bristol Road West,9.11866754371779,
City of Mississauga,Municipal,Municipality,Fire Station 119 (Airport-Leased),3201 Elmbank Road,10.4995104015617,
City of Mississauga,Municipal,Municipality,Fire Station 121 (Meadowvale Village),6745 Mavis Road,8.17323725941398,
City of Mississauga,Municipal,Municipality,Fire Station 122 (Churchill Meadows),3600 Thomas St,9.17709462889847,
City of Mississauga,Municipal,Municipality,Garry W Morden Centre,7535 Ninth Line,11.2283889483374,
City of Niagara Falls,Municipal,Municipality,"Fire Station #1, main",5815 Morrison St,8.71185329521103,
City of Niagara Falls,Municipal,Municipality,"Fire Station #2, McLeod Rd",7036 McLeod Rd,5.71853500774684,
City of Niagara Falls,Municipal,Municipality,Fire Station #3,3401 Dorchester Rd,7.80404871048475,
City of Niagara Falls,Municipal,Municipality,"Fire Station #4, bantingRd",8696 Banting Ave,9.61741052670803,
City of Niagara Falls,Municipal,Municipality,Fire Station #6,8061 Shisler Rd,1.99922978104181,
City of Niagara Falls,Municipal,Municipality,"FS #5, Crowland",11208 Sodom Road,3.16940332056892,
City of Niagara Falls,Municipal,Municipality,St John Ambulance Station,5734 Glenholme Ave,2.03315041886717,
City of North Bay,Municipal,Municipality,Fire Station #1,119 Princess Street West,11.6513588084478,
City of North Bay,Municipal,Municipality,Fire Station #2,900 McKeown Avenue,6.91125895891005,
City of North Bay,Municipal,Municipality,Fire Station #3,128 Marshall Avenue East,6.88507339617444,
City of North Bay,Municipal,Municipality,Fire Station #4,7 Duxford Road,4.0879160392925,
City of Orillia,Municipal,Municipality,Fire Headquarters,68 West St S,7.03002046287199,
City of Orillia,Municipal,Municipality,Fire Substation 2,1 Commerce Dr,7.81466481929694,
City of Oshawa,Municipal,Municipality,Fire Hall 1,199 Adelaide Ave W,9.46805044213243,
City of Oshawa,Municipal,Municipality,Fire Hall 2,1111 Simcoe St S,12.9876358596097,
City of Oshawa,Municipal,Municipality,Fire Hall 3,50 Beatrice St E,13.7759528212271,
City of Oshawa,Municipal,Municipality,Fire Hall 4,50 Harmony Rd N,12.2059381462284,
City of Oshawa,Municipal,Municipality,Fire Hall 5,1550 Harmony Rd N,13.0733412158492,
City of Ottawa,Municipal,Municipality,EMS - 20 Bexley Place,20 Bexley Pl,10.8991261544923,
City of Ottawa,Municipal,Municipality,EMS - 200 Montreal Road,200 Montreal Rd,12.2021985605646,
City of Ottawa,Municipal,Municipality,EMS - 2851 St Joseph,2851 St Joseph Blvd,12.2661652485983,
City of Ottawa,Municipal,Municipality,EMS - 384 St Patrick ,384 St Patrick St,8.54618286652404,
City of Ottawa,Municipal,Municipality,EMS - 50 Lord Byng Way,50 Lord Byng Way,10.1077760342123,
City of Ottawa,Municipal,Municipality,EMS 738 Gladstone,738 Gladstone Ave,10.9380460547556,
City of Ottawa,Municipal,Municipality,EMS Station - Industrial Ave,911 Industrial Ave,15.8633552206677,
City of Ottawa,Municipal,Municipality,EMS Station 360 Hunt Club Rd,360 Hunt Club Rd,5.02355720965259,
City of Ottawa,Municipal,Municipality,EMS Station Osgoode,3207 Vance St,1.22750640839445,
City of Ottawa,Municipal,Municipality,Fire Administration Building,1445 Carling Ave,13.1095517540388,
City of Ottawa,Municipal,Municipality,Fire Station 11n - Preston,135 Preston St,6.97401801292531,
City of Ottawa,Municipal,Municipality,Fire Station 13n - Sandy Hill,530 King Edward Ave,5.02308383570379,
City of Ottawa,Municipal,Municipality,Fire Station 21n - Centrepointe,1300 Woodroffe Ave,6.12651903550489,
City of Ottawa,Municipal,Municipality,Fire Station 22n - Lincoln Heights,1397 Richmond Rd,6.1955448862463,
City of Ottawa,Municipal,Municipality,Fire Station 24n - Viewmount,230 Viewmount Dr,9.07400996577188,
City of Ottawa,Municipal,Municipality,Fire Station 25n - Manordale,60 Knoxdale Rd,7.22807896139603,
City of Ottawa,Municipal,Municipality,Fire Station 31n - Greenboro,3255 Conroy Rd,3.61707297898408,
City of Ottawa,Municipal,Municipality,Fire Station 33n - Hunt Club,3336 McCarthy Rd,5.48777505901856,
City of Ottawa,Municipal,Municipality,Fire Station 34n - Hog's Back,700 Brookfield Rd,5.72885605122222,
City of Ottawa,Municipal,Municipality,Fire Station 35n - Alta Vista,2351 Alta Vista Dr,12.8230426387063,
City of Ottawa,Municipal,Municipality,Fire Station 36n - Elmvale Acre,900 Industrial Ave,6.87014805903711,
City of Ottawa,Municipal,Municipality,Fire Station 37 - Earl Armstrong,910 Earl Armstrong Rd,8.23126576634781,
City of Ottawa,Municipal,Municipality,Fire Station 41n - Eagleson,380 Eagleson Rd,5.84060483431835,
City of Ottawa,Municipal,Municipality,Fire Station 42n  - Beaverbrook,1021 Teron Rd,6.78748302014481,
City of Ottawa,Municipal,Municipality,Fire Station 43n - Bell's Corners,3845 Richmond Rd,6.51456436104542,
City of Ottawa,Municipal,Municipality,Fire Station 44 - Barrhaven,1075 Greenbank Rd,5.52117469433862,
City of Ottawa,Municipal,Municipality,Fire Station 45 - March,1040 Riddell Dr,4.06162571451139,
City of Ottawa,Municipal,Municipality,Fire Station 46 - Kanata West,34 Iber Rd,5.38862803247979,
City of Ottawa,Municipal,Municipality,Fire Station 47 - Barrhaven,3559 Greenbank Rd,1.94276418067709,
City of Ottawa,Municipal,Municipality,Fire Station 51n - Carson Grove,900 Montreal Rd,5.27981835426814,
City of Ottawa,Municipal,Municipality,Fire Station 52n - Convent Glen,6213 Blvd Jeanne d'Arc N,8.0424539443148,
City of Ottawa,Municipal,Municipality,Fire Station 53n- Fallingbrook,500 Charlemagne Blvd,7.39374311511279,
City of Ottawa,Municipal,Municipality,Fire Station 54n - Blackburn Hamlet,3080 Innes Rd,10.4672803015994,
City of Ottawa,Municipal,Municipality,Fire Station 55n - Pineview,1700 Blair Rd,8.15048214283629,
City of Ottawa,Municipal,Municipality,Fire Station 56n - Overbrook,275 Coventry Rd,5.20377132220961,
City of Ottawa,Municipal,Municipality,Fire Station 57n - Beechwood,220 Beechwood Ave,5.5979181388121,
City of Ottawa,Municipal,Municipality,Fire Station 61 - Kinburn,3150 Kinburn Side Rd,1.5123622747865,
City of Ottawa,Municipal,Municipality,Fire Station 62 - Fitzroy Harbour,6900 Harbour St,1.5123622747865,
City of Ottawa,Municipal,Municipality,Fire Station 63 - Constance Bay,341 Bayview Dr,3.92225252578266,
City of Ottawa,Municipal,Municipality,Fire Station 66 - Dunrobin,3285 Dunrobin Rd,2.62639180026823,
City of Ottawa,Municipal,Municipality,Fire Station 71n - Navan,1246 Colonial Rd,6.62081201432757,
City of Ottawa,Municipal,Municipality,Fire Station 72 - Cumberland,2445 Old Montreal Rd,3.26813003718706,
City of Ottawa,Municipal,Municipality,Fire Station 73 - Vars,6090 Rockdale Rd,6.35159895267503,
City of Ottawa,Municipal,Municipality,Fire Station 81 - Stittsville- EMS Station & Library,1643 Stittsville Main St,4.98491482539109,
City of Ottawa,Municipal,Municipality,Fire Station 82 & Richmond EMS ,6280 Perth St,5.19930341838859,
City of Ottawa,Municipal,Municipality,Fire Station 83n - North Gower,2352 Roger Stevens Dr,2.85481241227397,
City of Ottawa,Municipal,Municipality,Fire Station 84 - Old Almonte Rd,3447 Old Almonte Rd,2.22307756464842,
City of Ottawa,Municipal,Municipality,Fire Station 91n - Metcalfe,8011 Victoria St,6.98658951501152,
City of Ottawa,Municipal,Municipality,Fire Station 92-Osgoode,3110 Nixon Dr,3.93009511181978,
City of Ottawa,Municipal,Municipality,Fire Station 94n  - Manotick & EMS Post,5669 Main St S Manotick,6.98711443392699,
City of Owen Sound,Municipal,Municipality,Fire Hall,1209 -3rd Avenue East,6.51780518928229,
City of Pembroke,Municipal,Municipality,Pembroke Fire Dept - Annex,224 Victoria St,2.40292072582761,
City of Pembroke,Municipal,Municipality,Pembroke Fire Dept - Fire Station & Offices,273 Victoria,5.00717330176279,
City of Peterborough,Municipal,Municipality,Carneige Fire Station #2,161 Carnegie Avenue,15.6990915687395,
City of Peterborough,Municipal,Municipality,Clonsilla Fire Station #3,839 Clonsilla Ave,7.17455123202455,
City of Peterborough,Municipal,Municipality,Fire Training Facility ,839 Clonsilla Ave,5.04421275227203,
City of Peterborough,Municipal,Municipality,Monaghan Fire Station #3,721 Monaghan Road,6.58372776320917,
City of Peterborough,Municipal,Municipality,Sherbrooke Fire Station #1,210 Sherbrooke Street,10.7760324583256,
City of Pickering,Municipal,Municipality,Claremont CC & Fire Stn 4 & Library,4941 OLD BROCK RD,13.9260420705265,
City of Pickering,Municipal,Municipality,Fire Station # 2,553 KINGSTON RD,7.36475384459697,
