index,operation_name,Address,Zip,en_intensity_ekWh_sqft,lat,lng,dim_operation_type,dim_City,dim_organization,tot_floor_area_ft2,org_rank,op_type_rank,city_rank
3383,Downsview,2793 Keele St,M3M2G3,22.412434955679398,43.7289314,-79.4820175,1,777,144,20021.0,118,324,449
3384,Downsview Arena,1633 Wilson Ave,M3L1A5,42.0898212122795,43.7198296,-79.5127335,12,777,144,34218.0,408,82,1007
3387,Driftwood C.C,4401 Jane St.,M3N2K3,32.8191568160411,43.765461,-79.5187378,5,777,144,25015.0,291,898,835
3389,Dufferin Maintenance Yard,75 Vanley Cres.,M3J2B7,18.2105987467076,43.7626686,-79.4746933,7,777,144,31667.0,68,544,240
3390,Dufferin St Clair,1625 Dufferin St.,M6H3L9,28.5549082433855,43.67699810000001,-79.4423599,1,777,144,8966.0,217,429,714
3393,Dyas Rd Buildings,14 & 18 Dyas Rd,M3B1V5,26.0982573082348,43.7515907,-79.35159300000002,17,777,144,102516.0,174,773,619
3394,Earl Bales C.C & Senior,4169 Bathurst St,M3H3P7,33.02560940912789,43.7534142,-79.4377594,5,777,144,21657.0,296,901,840
3395,Earl Bales Park,4175 Bathurst St.,M3H3P7,28.0257654857335,43.7534485,-79.43776700000002,5,777,144,10409.0,203,816,694
3397,East Court & Municipal Services,1530 Markham Rd,M1B3G4,30.765062095662998,43.7900009,-79.2378769,17,777,144,120104.0,249,897,768
3400,East Scar Boys/Girls Club,100 Galloway Rd,M1E1W7,62.3739746832207,43.757431,-79.1932983,5,777,144,13972.0,487,1084,1133
3402,East York Arena,888 Cosburn Ave,M4C2W6,47.52745808415261,43.6970787,-79.3151093,12,777,144,30257.0,449,91,1061
3403,East York Civic Centre,850 Coxwell Ave,M4C5R1,35.6374230518255,43.690979,-79.32785799999998,17,777,144,67544.0,336,984,894
3404,East York Clubhouse,323-525 Cosburn Ave,M4J4Y7,38.6600899922149,43.6917191,-79.3382111,18,777,144,1001.0,373,234,949
3405,East York Community Centre,1081A Pape Ave,M4K3W4,60.00745996665171,43.6912689,-79.3492203,5,777,144,31000.0,480,1079,1123
3406,East York Curling Club House,901 Cosburn Ave,M4C2W7,40.668036013807104,43.6966209,-79.313591,18,777,144,17868.0,396,247,983
3407,Eastern & Booth Blocks,433 Eastern Ave,M4M1B7,32.623386050497,43.65707020000001,-79.3435822,7,777,144,236645.0,286,968,823
3408,Eastern Ave Yard / Office,843 Eastern Ave,M4L1A2,57.57870081213839,43.6616058,-79.3285599,7,777,144,84701.0,473,1183,1111
