,dim_City,City
312,322,Killarney
313,323,Barry's Bay
314,190,Gloucester
315,326,Port Sydney
316,327,Campbellcroft
317,328,St. Joachim
318,329,Petawawa 
319,1035,West Grey
320,333,Moira
321,334,STRATHROY
322,335,Port Loring
323,336,CAPREOL
324,337,Green River
325,647,Clearview
326,338,Marmora
327,339,Merrickville 
328,340,Rostock
329,342,Kitchener
330,343,Dwight
331,324,Inkerman
332,345,Gore Bay
333,853,Beaverton
334,656,Armstrong
335,347,Courtright
336,348,Ignace
337,349,Midhurst
338,350,Newton
339,282,Oxford Mills 
340,311,Severn Bridge
341,354,Bancroft
342,355,Beamsville
343,356,Port Perry
344,997,Laurentian Valley
345,358,Pickle Lake
346,359,Brucefield
347,1008,Sweaburg
348,854,Fort Frances
349,35,Cardinal 
350,69,Portland 
351,364,Grimsby
352,365,Bright's Grove
353,366,Kapuskasing
354,803,Allanburg
355,367,Ramore
356,368,AZILDA
357,369,Cavan
358,371,Blue Mountains
359,372,Tay
360,373,Damascus
361,374,Chesterville
362,375,LIVELY
363,106,Port Burwell
364,377,Burford
365,378,Wooler
366,1042,Scarborough
367,380,Lakefield
368,859,Virginiatown
369,526,Corunna
370,383,Shannonville
371,384,Dorchester
372,385,Claremont
373,386,Welcome
374,387,Otterville
375,204,Young's Point
376,389,Keewatin
377,390,Alban
378,391,Wolfe Island
379,392,Orillia
380,393,Wingham
381,64,Port Carling
382,31,Hillier
383,397,Campbellville
384,398,Haileybury
385,399,Chatham
386,68,Bloomingdale
387,402,Haley Station
388,90,Kleinburg
389,95,Emeryville
390,101,Verner
391,409,St Cathariness
392,410,Castleton
393,667,Moosonee
394,412,Caistor Centre
395,130,Walters Falls
396,682,Bourget
397,668,Fullarton
398,537,Monkton
399,363,Courtice 
400,176,Crystal Falls
401,419,Maxville
402,420,Cambridge
403,421,Clinton
404,423,Parkhill
405,45,Gratton
406,219,Orangeville
407,458,Oxford Mills
408,637,Hepworth
409,237,Hagersville
410,241,Erin
411,1002,KirkField
412,429,Foldens
413,430,Brantford
414,1020,Dorion
415,432,L'Original
416,1134,Milton
417,434,Clifford
418,885,Coniston
419,436,Washago
420,438,Ontario
421,439,Douro-Dummer
422,1085,Consecon
423,688,Monkland
424,443,Wasaga Beach
425,445,Lucan
426,446,Granton
427,447,Longlac Ward
428,464,Fonthill
429,449,Waterford
430,981,Ridgeville
431,450,Gowanstown
432,1055,Perth Road
433,451,Newbury
434,452,Smiths Falls
435,382,Bothwell
436,455,Cochenour
437,456,Amherst Island
438,457,Winchester
439,426,Meadowvale
440,459,Bailieboro
441,460,Azilda
442,461,Lombardy 
443,462,Barrhaven
444,463,Foleyet
445,448,Bluevale
446,465,Sutton West
447,466,Barrie
448,468,Glen Morris
449,470,Hanmer
450,471,White Lake
451,472,Laird Township
452,473,Sauble Beach
453,474,Hawkesville
454,180,Havelock
455,476,Markham
456,477,Embrun
457,169,St Thomas
458,479,Vineland
459,683,Missanabie
460,192,Shanty Bay
461,876,halton hills
462,331,McDonalds Corner
463,484,Haliburton
464,877,Port Stanley
465,486,Dutton
466,487,Burk's Falls
467,488,Enterprise
468,489,Stouffville
469,490,RR3 Dunville
470,685,Winchester 
471,492,Bolton
472,494,Phelpston
473,495,Hastings
474,442,Bayfield
475,498,Gores Landing
476,499,Copper Cliff
477,500,Plantagenet
478,501,Concord
479,502,L'Orignal
480,1061,Comber
481,294,Ingleside 
482,505,Gogama
483,506,Auburn
484,507,Gorrie
485,509,Lively
486,510,Thessalon
487,105,Chesterville 
488,512,Mattice
489,513,Gravenhurst
490,1145,Wellington
491,880,Stoney Point
492,515,Brudenell
493,404,Thornhill
494,424,St. Clair Beach
495,517,Kingsville
496,518,Floradale
497,519,Limehouse
498,520,Lavigne
499,1064,Sutton
500,521,Seaforth
501,522,Parham
502,523,Beardmore
503,524,Douglas
504,525,Wyevale
505,454,Capreol
506,475,SearchmontP6A2K
507,528,Collins
508,529,Westport
509,0,St. Jacobs
510,532,Demorestville
511,533,windsor
512,534,Torrance
513,39,Odessa
514,536,Maryhill
515,922,Niagara on the Lake
516,511,Baden
517,478,Sleeman
518,539,Alton
519,540,Cayuga
520,541,Linwood
521,542,Grafton
522,543,Seeleys Bay
523,544,Stroud
524,545,O'Connor Township
525,547,Long Sault 
526,548,Rockton
527,395,Quinte West
528,550,Moose Factory
529,551,Coleman Township
530,552,Amherstburg
531,553,North Easthop
532,195,Downsview
533,556,Caledonia
534,481,Kirkland Lake
535,557,Brights Grove
536,558,"Burk's Falls, Ontario"
537,696,St. Marys
538,990,VAL THERESE
539,561,Port Hope
540,562,Ingleside
541,563,Selwyn Township
542,564,Newtonville
543,888,Uxbridge
544,566,Coboconck
545,567,Nobleton
546,483,Atwood
547,569,Bowmanville
548,570,Lefroy
549,571,Prescott
550,572,Inverary
551,573,Freelton
552,254,Charlton
553,575,Trenton
554,700,Millbrook
555,577,Deep River
556,578,Erieau
557,579,Komoka
558,580,Goulais River
559,581,Kingston
560,1074,Belleville
561,1065,Hawkestone
562,584,River Canard
563,585,Elmira
564,587,Ivanhoe
565,648,Opasatika
566,1101,Woodslee
567,588,Milford Bay
568,589,Attawapiskat
569,591,Ompah
570,592,Breslau
571,453,BEAVER LAKE
572,594,Tichborne
573,595,Conesotogo
574,596,Rosseau
575,28,Union
576,598,Tara
577,599,Maple Leaf
578,600,Stayner
579,601,Drumbo
580,933,Saint-Bernardin
581,1043,Braeside
582,603,Campden
583,604,Emsdale
584,893,St-Isidore-de-Prescott
585,606,Fauquier
586,607,La Salle
587,99,Chamberlain
588,104,Formosa
589,610,SEVERN BRIDGE
590,56,Woodview
591,1119,VAL CARON
592,612,Stittsville
593,614,Rutherglen
594,145,Fairground
595,150,St. Ann's
596,617,Escott
597,618,Maynooth
598,619,Penetanguishene
599,620,York
600,621,Neustadt
601,622,Whitby
602,623,Hamilton
603,222,Keswick
604,708,Iroquois Falls
605,627,Carrick
606,228,Belle River
607,629,Brougham
608,630,Selwyn
609,631,Beachville
610,632,King City
611,633,Ayton
612,634,Glen Orchard
613,679,Southampton
614,635,Straffordville
615,636,Dublin
616,263,Oakville
617,638,Dryden
618,639,Jackson's Point
619,640,Stella
620,642,Webbwood
621,643,Gorham
622,285,Nipissing
623,645,Noelville
624,297,Wroxeter
625,555,Woodville
626,278,Camlachie
627,310,Rodney
628,650,Niagara Falls
629,651,Cookstown
630,325,CHELMSFORD
631,653,Wellington North
632,654,Cumberland Beach
633,655,Queensville
634,1072,Craigleith
635,346,Brgden
636,658,Redbridge
637,659,Thunder Bay
638,660,LaSalle
639,662,Hawkesbury
640,663,Bright
641,946,Durham
642,664,Wawa
